date,star,text
2022-11-12,5,이번에 한번 막걸리 잔뜩 사서종류별로 하나씩 먹어보고 있습니다잔뜩 사도 2만원 정도 밖에 안나왔어요가성비 너무 좋아요다음에도 시킵니다 지나친 음주는 몸에 해로와요ㅎㅎ
2022-11-23,5,이제부터 하나씩 잘 먹어보겠습니다 포장 깜끔하게 잘 왔네요
2022-11-09,5,귤 향이 되게 나는건 아니예요 누룩같은 향이 더 잘 나는것 같아요
2022-11-22,5,배송빠르고 포장상태도 좋습니다
2022-11-06,5,시중 과실주보다 인위적인 맛 없고 깔끔하고 맛있었어요
2022-11-20,5,맛도 좋고 집에 손님올때 꺼내기 너무 좋은술인것같아요 배송도 빨라 좋네요
2022-11-16,5,선물용으로 구매했습니다
2022-10-27,5,빠른 배송에 감사하고 안전한 포장에 감탄했어요하나도 문제없이 안전하게 도착해서 11월 친구모임에 즐겁게 한잔 할꺼 같아요
2022-11-20,1,저도주는 유통기한이 짧은걸로 알고있는데1년지난 술이 왔어요
2022-10-14,5,다 먹은 빈 병 사진입니다 깔끔하고 귤맛 조금 나요 막 달달한 음료같진 않고 도수도 좀 있어요
2022-10-26,5,감사합니다 잘 받았습니다
2022-10-25,5,혼디주 워낙 평 좋아서 주문해봅니다
2022-10-28,5,배송이 빠르고 병이 예뻐요
2022-10-18,5,빠른 배송 친절한 상담 너무 예뻐요
2022-10-16,5,잘 받았어요 배송 빨라요
2022-10-17,5,상큼한 귤향이 터져요
2022-10-31,5,배송도 꼼꼼히 잘오고 맛도 좋습니다
2022-09-29,5,지인선물로 보냈습니다지인이 마시고 싶은 술이길래 픽저도 맛이 궁금하네요
2022-10-20,5,달달하니 맛있더라구요
2022-10-06,5,제 입맛엔 약간 도수 센 막걸리 맛이 났어요 술 잘 드시는 분들은 나쁘지 않게 드셨어요
2022-09-24,5,니모메가 더 달달합니다
2022-09-19,5,맛이 궁금했는데 배송도 빠르고 잘먹었어요
2022-09-04,5,디자인이 귀여워서 구매했습니다 ㅋㅋ포장도 꼼꼼해서 깨진 것 하나 없이 도착했어요
2022-10-09,5,선물로 보냈는데 맛있다네요
2022-09-24,5,니모메보단 감귤맛이 더 나네요 깊은맛은 아니고 가볍고 마실수 있는술이에요
2022-10-08,4,숙취도 없고 깔끔해요
2022-09-16,5,선물받아 마셔보고 재구매했어요
2022-09-08,5,늘 애용하는 제품입니다 맛있어요
2022-09-15,5,배송빠르고 잘받았습니다
2022-09-09,5,안먹어봤지만 너무기대돼요
2022-09-27,4,기대되네요맛날듯해요
2022-08-31,5,새콤하니 맛있어서 구매해봤어용
2022-08-23,5,요것은 오묘한 매력있네요ㅋㅋㅋ은근 생각나는ㅋㅋㅋ
2022-08-17,5,일단 마셔보고 생각해볼께요 한군데서 이것저것 살 수 잇어서 좋네여
2022-08-25,4,병이 귀엽우어요 고기랑 술 먹을 때 딱이겟어요요오
2022-08-12,5,귤향이 바로 탁 올라오면서 맛있네요 가볍게 한잔 하기 좋은 술이에요
2022-08-23,5,주문하고 바로 다음날 받았어요
2022-09-13,5,배송빠르고 좋아요 ㅋㅋ
2022-06-12,5,술마켓에서 종류별로 여러개 주문했는데요병이 깨지지는 않을까하는 걱정이 있었는데 박스를 열어보는 순간 기우에 불과하다는 걸 알았습니다꼼꼼하고 안전한 포장 배송 감사드립니다구입한 술 모두 만족스럽습니다좋은 사람들에게 선물도 하고 함께 맛있게 잘 마시겠습니다그리고 우리나라 전통주가 더욱 많은 사랑을 받았으면 좋겠습니다감사합니다 더욱 번창하세요 이 글을 보고 계신 모든 분들도 하시는 일 모두 술 술 잘 풀리길 기원합니다
2022-06-27,5,포장 엄청 꼼꼼하게 해주셔서 다음에도 주문한다면 여기에서 주문하고 싶습니당ㅎㅎ 잘 마셨습니다 병이 예뻐서 고이 모시고 있습니다 감사합니다
2022-08-07,5,아직 안 마셨지만 기대가 됩니다
2022-07-20,5,집들이용으로 구매 아직 먹어보진 못했어요ㅎㅎ 또 사러 올게요
2022-08-08,5,아주맛있었어요 제주의 맛
2022-07-21,5,맛있고 알콜향이 많이 안나요
2022-07-22,5,많이 달지않고 상큼하니 식전주로 좋습니다
2022-07-20,5,맛있게 잘먹었습니다
2022-07-16,5,빠르고안전하게배송되었어요
